Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Denmark,21119000.0,21119000.0,21119000.0,21119000.0,21119000.0,21119000.0,21119000.0,21119000.0,21119000.0,22054000.0,26927000.0,26936000.0,27138000.0,26870000.0,26571000.0,26730000.0,25811000.0,26402000.0,26516000.0,28070000.0,28209000.0,28692000.0,30736000.0,30801000.0,33093000.0,15595000.0
Dominican Republic,1806000.0,2037000.0,2482000.0,2702000.0,2932000.0,3161000.0,3090000.0,3058000.0,3680000.0,3907000.0,3981000.0,4268000.0,4365000.0,4455000.0,4489000.0,4478000.0,4654000.0,4901000.0,5114000.0,5576000.0,6129000.0,6769000.0,7296000.0,7551000.0,7550000.0,2748000.0
Algeria,520000.0,605000.0,635000.0,678000.0,749000.0,866000.0,901000.0,988000.0,1166000.0,1234000.0,1443000.0,1638000.0,1743000.0,1772000.0,1912000.0,2070000.0,2395000.0,2634000.0,2733000.0,2301000.0,1710000.0,2039000.0,2451000.0,2657000.0,2371000.0,591000.0
Ecuador,440000.0,494000.0,529000.0,511000.0,518000.0,627000.0,641000.0,683000.0,761000.0,819000.0,860000.0,841000.0,937000.0,1005000.0,968000.0,1047000.0,1141000.0,1272000.0,1364000.0,1695000.0,1676000.0,1569000.0,1806000.0,2535000.0,2108000.0,2108000.0
Spain,52460000.0,55077000.0,62415000.0,68068000.0,72040000.0,74580000.0,75564000.0,79313000.0,82326000.0,85981000.0,92563000.0,96152000.0,98907000.0,97670000.0,91899000.0,93744000.0,99187000.0,98128000.0,103231000.0,107144000.0,109834000.0,115561000.0,121717000.0,124456000.0,126170000.0,36410000.0
Estonia,2111000.0,2444000.0,2618000.0,2909000.0,3181000.0,3310000.0,3230000.0,3253000.0,3378000.0,3468000.0,3558000.0,3648000.0,3738000.0,3828000.0,3834000.0,4369000.0,4907000.0,5007000.0,5737000.0,5804000.0,5696000.0,5942000.0,6145000.0,6033000.0,6103000.0,1695000.0
Finland,1779000.0,1724000.0,1832000.0,2644000.0,2454000.0,2714000.0,2826000.0,2875000.0,2601000.0,2840000.0,3140000.0,3375000.0,3519000.0,3583000.0,3423000.0,3670000.0,4192000.0,4226000.0,2797000.0,2731000.0,2622000.0,2789000.0,3180000.0,3224000.0,3290000.0,896000.0
Fiji,476000.0,534000.0,547000.0,499000.0,544000.0,434000.0,446000.0,461000.0,451000.0,513000.0,547000.0,544500.0,542000.0,627000.0,605000.0,692000.0,734000.0,741000.0,769000.0,781000.0,869000.0,963000.0,1027000.0,1058000.0,969000.0,168000.0
France,148263000.0,148263000.0,157551000.0,162226857.14285713,166902714.2857143,171578571.42857143,176254428.57142857,180930285.7142857,185606142.85714287,190282000.0,185829000.0,193882000.0,193319000.0,193571000.0,192369000.0,189826000.0,196595000.0,197522000.0,204410000.0,206599000.0,203302000.0,203042000.0,207274000.0,211998000.0,217877000.0,117109000.0
United Kingdom,23537000.0,25163000.0,25515000.0,25745000.0,25394000.0,25209000.0,22835000.0,24180000.0,24715000.0,27755000.0,29970000.0,32713000.0,32778000.0,31888000.0,31072000.0,30398000.0,31886000.0,32221000.0,33567000.0,35337000.0,36792000.0,39129000.0,41080000.0,40283000.0,40857000.0,11101000.0
Georgia,85000.0,117000.0,313000.0,317000.0,384000.0,387000.0,302000.0,298000.0,313000.0,368000.0,560000.0,983000.0,1052000.0,1290000.0,1500000.0,2032000.0,2712000.0,4106000.0,4954000.0,5004000.0,5256000.0,5393000.0,6483000.0,7203000.0,7726000.0,1513000.0
Greece,10712000.0,9782000.0,10588000.0,11364000.0,12606000.0,13567000.0,14678000.0,14918000.0,14785000.0,14268000.0,15938000.0,17284000.0,17688000.0,18092000.0,18496000.0,18900000.0,19304000.0,19708000.0,20112000.0,24272000.0,26114000.0,28071000.0,30161000.0,33072000.0,34005000.0,7406000.0
Honduras,271000.0,271000.0,310000.0,324000.0,428000.0,689000.0,672000.0,788000.0,887000.0,1026000.0,1118000.0,1136000.0,1309000.0,1561000.0,1589000.0,1965000.0,1852000.0,1903000.0,1857000.0,2082000.0,2093000.0,2228000.0,2144000.0,2323000.0,2315000.0,669000.0
Croatia,16100000.0,19085000.0,23660000.0,25499000.0,29215000.0,37226000.0,40129000.0,41737000.0,42857000.0,44974000.0,45762000.0,47733000.0,52271000.0,51336000.0,47573000.0,49006000.0,49969000.0,47185000.0,48345000.0,51168000.0,55858000.0,57587000.0,59238000.0,57668000.0,60021000.0,21608000.0
Hungary,39240000.0,39833000.0,37315000.0,33624000.0,28803000.0,31141000.0,30679000.0,31739000.0,31412000.0,33934000.0,36173000.0,38318000.0,39379000.0,39554000.0,40624000.0,39904000.0,41304000.0,43565000.0,43611000.0,45984000.0,48345000.0,52890000.0,54962000.0,57667000.0,61397000.0,31641000.0
Iceland,211000.0,223000.0,223000.0,255000.0,281000.0,328000.0,329000.0,315000.0,348000.0,405000.0,429000.0,477000.0,539000.0,561000.0,563000.0,559000.0,628000.0,765000.0,900000.0,1102000.0,1389000.0,1891000.0,2353000.0,2488000.0,2202000.0,488000.0
Japan,3345000.0,3837000.0,4218000.0,4106000.0,4438000.0,4757000.0,4772000.0,5239000.0,5212000.0,6138000.0,6728000.0,7334000.0,8347000.0,8351000.0,6790000.0,8611000.0,6219000.0,8358000.0,10364000.0,13413000.0,19737000.0,24039000.0,28691000.0,31191000.0,31881000.0,4115799.805
Kazakhstan,202000.0,202000.0,284000.0,257000.0,394000.0,1683000.0,2693000.0,3678000.0,3237000.0,4291000.0,4365000.0,4707000.0,5311000.0,4117000.0,3774000.0,4097000.0,5685000.0,6163000.0,6841000.0,6333000.0,6430000.0,6509000.0,7701000.0,8789000.0,8515000.0,2035000.0
Kenya,974000.0,1003000.0,1001000.0,894000.0,969000.0,1037000.0,994000.0,1001000.0,1146000.0,1361000.0,1479000.0,1601000.0,1817000.0,1203000.0,1490000.0,1609000.0,1823000.0,1711000.0,1520000.0,1350000.0,1181000.0,1340000.0,1449000.0,2025000.0,2049000.0,2049000.0
Liechtenstein,59000.0,56000.0,57000.0,59000.0,60000.0,61599.99847,56500.0,48700.00076,49000.0,48500.0,49799.99924,54900.00153,72800.00305,72900.00153,66500.0,64300.00305,67000.0,62400.00153,59599.99847,61299.99924,56700.00076,69099.99847,79300.00305,85300.00305,98099.99847,58400.00153
Morocco,2752000.0,2856000.0,3203000.0,3267000.0,4088000.0,4458000.0,4596000.0,4709000.0,5021000.0,5732000.0,6077000.0,6777000.0,7701000.0,8209000.0,8661000.0,9752000.0,9784000.0,9830000.0,10349000.0,10507000.0,10542000.0,10677000.0,11540000.0,12489000.0,13109000.0,2802000.0
Madagascar,115000.0,123350.0,131700.0,140050.0,148400.0,156750.0,165100.0,173450.0,181800.0,190150.0,198500.0,206850.0,215200.0,223550.0,231900.0,240250.0,248600.0,256950.0,265300.0,273650.0,282000.0,333000.0,285000.0,360000.0,486000.0,87099.99847
Montenegro,136000.0,136000.0,136000.0,136000.0,136000.0,136000.0,136000.0,136000.0,142000.0,188000.0,272000.0,378000.0,984000.0,1031000.0,1044000.0,1088000.0,1201000.0,1264000.0,1324000.0,1350000.0,1560000.0,1662000.0,1877000.0,2077000.0,2510000.0,351000.0
Mongolia,108000.0,71000.0,82000.0,197000.0,160000.0,158000.0,192000.0,235000.0,205000.0,305000.0,345000.0,408000.0,455000.0,469000.0,465000.0,557000.0,627000.0,624000.0,515000.0,506000.0,467000.0,471000.0,543000.0,598000.0,637000.0,66900.00153
Malaysia,7469000.0,7138000.0,6211000.0,5551000.0,7931000.0,10222000.0,12775000.0,13292000.0,10577000.0,15703000.0,16431000.0,17547000.0,20973000.0,22052000.0,23646000.0,24577000.0,24714000.0,25033000.0,25715000.0,27437000.0,25721000.0,26757000.0,25948000.0,25832000.0,26101000.0,4333000.0
Namibia,421000.0,560000.0,610000.0,681000.0,694000.0,759000.0,700000.0,799000.0,739000.0,986000.0,856000.0,961000.0,1048000.0,1079000.0,1100000.0,1114000.0,1163000.0,1245000.0,1327000.0,1429000.0,1488000.0,1551000.0,1581000.0,1639000.0,1651000.0,187100.0061
Norway,2880000.0,2746000.0,2702000.0,3256000.0,3223000.0,3104000.0,3073000.0,3111000.0,3269000.0,3628000.0,3824000.0,4070000.0,4377000.0,4347000.0,4346000.0,4767000.0,4963000.0,4538000.0,4778000.0,4855000.0,5361000.0,5960000.0,6252000.0,5688000.0,5879000.0,1397000.0
Nepal,363000.0,394000.0,422000.0,464000.0,492000.0,464000.0,361000.0,275000.0,338000.0,385000.0,375000.0,384000.0,527000.0,500000.0,510000.0,603000.0,736000.0,803000.0,798000.0,790000.0,539000.0,753000.0,940000.0,1173000.0,1197000.0,230000.0
New Zealand,1409000.0,1529000.0,1497000.0,1485000.0,1607000.0,1787000.0,1909000.0,2045000.0,2104000.0,2334000.0,2366000.0,2409000.0,2455000.0,2483000.0,2473000.0,2530000.0,2617000.0,2574000.0,2710000.0,2854000.0,3129000.0,3494000.0,3723000.0,3858000.0,3888000.0,996000.0
Peru,1650000.0,1650000.0,1650000.0,1650000.0,1650000.0,1650000.0,1650000.0,1650000.0,1650000.0,1650000.0,1938000.0,2227000.0,2451000.0,2581000.0,2681000.0,2948000.0,3299000.0,3642000.0,4010000.0,4062000.0,4381000.0,4718000.0,4992000.0,5384000.0,5275000.0,1119000.0
Philippines,1760000.0,2049000.0,2223000.0,2149000.0,2171000.0,1992000.0,1797000.0,1933000.0,1907000.0,2291000.0,2623000.0,2843000.0,3092000.0,3139000.0,3017000.0,3520000.0,3917000.0,4273000.0,4681000.0,4833000.0,5361000.0,5967000.0,6621000.0,7168000.0,8261000.0,1483000.0
Portugal,9511000.0,9730000.0,10172000.0,11295000.0,11632000.0,12097000.0,12167000.0,11644000.0,11707000.0,10639000.0,10612000.0,11282000.0,6788000.0,6962000.0,6439000.0,6756000.0,7264000.0,7503000.0,9177000.0,10497000.0,11723000.0,13359000.0,15432000.0,16186000.0,17283000.0,4208000.0
Romania,5445000.0,5205000.0,5149000.0,4831000.0,5224000.0,5264000.0,4938000.0,4794000.0,5595000.0,6600000.0,5839000.0,6037000.0,7722000.0,8862000.0,7575000.0,7498000.0,7611000.0,7937000.0,8019000.0,8442000.0,9331000.0,10223000.0,10926000.0,11720000.0,12815000.0,5023000.0
Slovenia,732000.0,832000.0,974000.0,977000.0,884000.0,1090000.0,1219000.0,1302000.0,1373000.0,1499000.0,1555000.0,1617000.0,1751000.0,1958000.0,1824000.0,2049000.0,2236000.0,2377000.0,2502000.0,2675000.0,3022000.0,3397000.0,3991000.0,4425000.0,4702000.0,1216000.0
Sweden,2310000.0,2376000.0,2388000.0,2573000.0,2595000.0,3828000.0,4108000.0,4276000.0,4268000.0,4676000.0,4883000.0,4729000.0,5224000.0,4555000.0,4899000.0,5183000.0,11567000.0,12372000.0,10980000.0,10522000.0,6482000.0,6782000.0,7054000.0,7440000.0,7616000.0,1957000.0
Thailand,6952000.0,7244000.0,7294000.0,7843000.0,8651000.0,9579000.0,10133000.0,10873000.0,10082000.0,11737000.0,11567000.0,13822000.0,14464000.0,14584000.0,14150000.0,15936000.0,19230000.0,22354000.0,26547000.0,24810000.0,29923000.0,32530000.0,35592000.0,38178000.0,39916000.0,39916000.0
Tanzania,295000.0,326000.0,360000.0,482000.0,627000.0,501000.0,525000.0,575000.0,576000.0,583000.0,613000.0,644000.0,719000.0,770000.0,714000.0,783000.0,868000.0,1077000.0,1096000.0,1140000.0,1137000.0,1284000.0,1327000.0,1506000.0,1527000.0,1527000.0
United States,79732000.0,82756000.0,82525000.0,74767000.0,75796000.0,78343000.0,70975000.0,64434000.0,62082000.0,67606000.0,71484000.0,183178000.0,175299000.0,175703000.0,160508000.0,162275000.0,147271421.9,171629890.6,179309906.3,178311359.4,176864531.3,175261484.4,174291750.0,169324921.9,165478000.0,45037000.0
Vietnam,1351000.0,1607000.0,1716000.0,1520000.0,1782000.0,2140000.0,2330000.0,2628000.0,2429000.0,2928000.0,3477000.0,3583000.0,4229000.0,4236000.0,3747000.0,5050000.0,6014000.0,6848000.0,7572000.0,7874000.0,7944000.0,10013000.0,12922000.0,15498000.0,18009000.0,3837000.0
